id,movie_id,provider_name
0,508947,Disney Plus
1,785985,Netflix
2,284052,Disney Plus
3,829557,Netflix
4,568124,Disney Plus
5,951470,Netflix
6,294793,Amazon Prime Video
7,606402,Netflix
8,585083,Amazon Prime Video
9,696806,Netflix
10,580489,Netflix
11,774825,Disney Plus
12,635302,Watcha
13,524434,Disney Plus
14,566525,Disney Plus
15,833425,Disney Plus
16,19995,Disney Plus
17,760868,Netflix
18,476669,Disney Plus
19,949270,Netflix
20,778106,Netflix
21,843241,Netflix
22,678287,Netflix
23,632727,Netflix
24,459151,Netflix
25,860623,wavve
26,299536,Disney Plus
27,1865,Disney Plus
28,955971,Netflix
29,818750,Netflix
30,58,Disney Plus
31,454626,Netflix
32,512195,Netflix
33,928381,Netflix
34,877183,Disney Plus
35,926899,Netflix
36,285,Disney Plus
37,22,Disney Plus
38,337404,Disney Plus
39,890656,Netflix
40,829920,Watcha
41,783461,Netflix
42,550988,Disney Plus
43,270303,wavve
44,508943,Disney Plus
45,385128,Netflix
46,299534,Disney Plus
47,589761,Watcha
48,840882,Netflix
49,597208,Disney Plus
50,818647,Netflix
51,803104,Disney Plus
52,24428,Disney Plus
53,166426,Disney Plus
54,497698,Disney Plus
55,482321,Disney Plus
56,451048,Disney Plus
57,811072,Netflix
58,739993,Netflix
59,774741,Disney Plus
60,916740,Netflix
61,516329,Disney Plus
62,597,Disney Plus
63,522402,Apple TV Plus
64,619979,Amazon Prime Video
65,685274,Netflix
66,632357,Netflix
67,505026,Disney Plus
68,682344,Netflix
69,671,Watcha
70,529203,Netflix
71,962697,Netflix
72,527774,Disney Plus
73,811592,wavve
74,615457,Netflix
75,99861,Disney Plus
76,739413,Netflix
77,755812,Disney Plus
78,588228,Amazon Prime Video
79,800407,Netflix
80,1930,Watcha
81,482373,Netflix
82,198663,Disney Plus
83,770254,Netflix
84,876716,Disney Plus
85,800937,Netflix
86,293660,Disney Plus
87,765119,Netflix
88,926980,Netflix
89,610253,Netflix
90,354912,Disney Plus
91,458576,Netflix
92,691683,Disney Plus
93,617653,Disney Plus
94,895001,Netflix
95,10138,Disney Plus
96,674,wavve
97,106646,Watcha
98,602223,Netflix
99,862,Disney Plus
100,939336,Disney Plus
101,118,Watcha
102,949218,Amazon Prime Video
103,672,wavve
104,324786,Watcha
105,785521,Netflix
106,50014,Disney Plus
107,12445,wavve
108,756403,Netflix
109,767,wavve
110,745881,Netflix
111,372058,Watcha
112,763164,Watcha
113,315635,Watcha
114,673,wavve
115,335983,Watcha
116,808,wavve
117,525660,Watcha
118,177572,Disney Plus
119,400160,Netflix
120,511809,Disney Plus
121,585,Disney Plus
122,796499,Netflix
123,271110,Disney Plus
124,928769,Netflix
125,284053,Disney Plus
126,675,wavve
127,8587,Disney Plus
128,12444,wavve
129,537915,Netflix
130,768447,wavve
131,591120,Netflix
132,890322,Netflix
133,508442,Disney Plus
134,848278,Watcha
135,24021,Netflix
136,953300,Netflix
137,831827,Disney Plus
138,138843,Watcha
139,826953,Disney Plus
140,10195,Disney Plus
141,885110,Netflix
142,809,wavve
143,929472,Netflix
144,348893,Netflix
145,102382,Netflix
146,813258,Amazon Prime Video
147,571891,wavve
148,571265,wavve
149,532067,Watcha
150,623135,Netflix
151,863,Disney Plus
152,330457,Disney Plus
153,706972,Watcha
154,760195,Netflix
155,18240,Disney Plus
156,2062,Disney Plus
157,207703,Disney Plus
158,744,Watcha
159,216015,wavve
160,425,Disney Plus
161,337401,Disney Plus
162,122917,wavve
163,10144,Disney Plus
164,550205,Netflix
165,10198,Disney Plus
166,654974,Disney Plus
167,72545,Netflix
168,604822,wavve
169,899082,wavve
170,728526,Amazon Prime Video
171,529106,Netflix
172,228150,Watcha
173,146375,wavve
174,14161,Watcha
175,503736,Netflix
176,301528,Disney Plus
177,836009,Netflix
178,672322,Netflix
179,76338,Disney Plus
180,632632,Watcha
181,8960,Netflix
182,592508,Netflix
183,260514,Disney Plus
184,447404,wavve
185,18785,Netflix
186,15092,wavve
187,72190,Watcha
188,618162,Netflix
189,568160,Watcha
190,3933,Watcha
191,109445,Disney Plus
192,383498,Disney Plus
193,825997,Watcha
194,845222,Netflix
195,871964,Netflix
196,1726,Disney Plus
197,790525,Netflix
198,32657,Disney Plus
199,38575,Watcha
200,557,Netflix
201,68721,Disney Plus
202,157336,Watcha
203,260346,Disney Plus
204,68726,Watcha
205,378064,Watcha
206,729720,Netflix
207,929477,Netflix
208,11224,Disney Plus
209,283566,Amazon Prime Video
210,619297,Netflix
211,741074,Disney Plus
212,882206,Netflix
213,850818,Netflix
214,8966,Watcha
215,630586,wavve
216,420809,Disney Plus
217,22832,wavve
218,4247,wavve
219,567189,Amazon Prime Video
220,123553,Watcha
221,10674,Disney Plus
222,630004,Watcha
223,38757,Disney Plus
224,597316,Netflix
225,921655,Netflix
226,641501,Netflix
227,35,Disney Plus
228,559,Netflix
229,49013,Disney Plus
230,636879,Watcha
231,343668,Disney Plus
232,299537,Disney Plus
233,842171,Netflix
234,9820,Disney Plus
235,43347,Disney Plus
236,581387,Watcha
237,845404,Netflix
238,337167,Netflix
239,14160,Disney Plus
240,927070,Disney Plus
241,12,Disney Plus
242,296096,Watcha
243,789708,Netflix
244,436931,wavve
245,790142,Netflix
246,283995,Disney Plus
247,9539,wavve
248,324857,Watcha
249,102651,Disney Plus
250,50620,Netflix
251,785538,Netflix
252,740925,Netflix
253,91314,wavve
254,768449,wavve
255,131631,wavve
256,50619,Netflix
257,591273,Netflix
258,27205,Watcha
259,120,Watcha
260,10193,Disney Plus
261,590706,wavve
262,76341,Watcha
263,676845,wavve
264,810,Netflix
265,1771,Disney Plus
266,591274,Netflix
267,553301,Watcha
